Timestamp,Query,Answer Preview,Documents Retrieved,Top Similarity,Source Documents
2025-12-31 14:27:42,What was Lincoln's view on slavery?,"Based on Abraham Lincoln's writings, here's what I found relevant to your question:

[Document 1 - S...",3,0.636,"Speech, Letter, Letter"
2025-12-31 14:27:42,How did Lincoln describe the Union?,"Based on Abraham Lincoln's writings, here's what I found relevant to your question:

[Document 1 - L...",3,0.541,"Letter, Speech, Speech"
2025-12-31 14:27:43,What were Lincoln's thoughts on democracy?,"Based on Abraham Lincoln's writings, here's what I found relevant to your question:

[Document 1 - S...",3,0.554,"Speech, Letter, Speech"
2025-12-31 14:27:43,Tell me about the Gettysburg Address,"Based on Abraham Lincoln's writings, here's what I found relevant to your question:

[Document 1 - S...",3,0.547,"Speech, Speech, Letter"
2025-12-31 14:27:43,How did Lincoln communicate during the Civil War?,"Based on Abraham Lincoln's writings, here's what I found relevant to your question:

[Document 1 - S...",3,0.523,"Speech, Speech, Speech"
2025-12-31 14:27:43,What was Lincoln's view on slavery?,"Based on Abraham Lincoln's writings, here's what I found relevant to your question:

[Document 1 - S...",3,0.636,"Speech, Letter, Letter"
2025-12-31 14:27:43,How did Lincoln describe the Union?,"Based on Abraham Lincoln's writings, here's what I found relevant to your question:

[Document 1 - L...",3,0.541,"Letter, Speech, Speech"
2025-12-31 14:27:43,What were Lincoln's thoughts on democracy?,"Based on Abraham Lincoln's writings, here's what I found relevant to your question:

[Document 1 - S...",3,0.554,"Speech, Letter, Speech"
2025-12-31 14:28:54,What were Lincoln's religious beliefs?,"Based on Abraham Lincoln's writings, here's what I found relevant to your question:

[Document 1 - S...",3,0.496,"Speech, Speech, Note"
2025-12-31 14:30:02,"""What was Lincoln's leadership style?""","Based on Abraham Lincoln's writings, here's what I found relevant to your question:

[Document 1 - S...",3,0.530,"Speech, Speech, Speech"
